City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Tiksi,RU,2022-01-31 18:57:06,71.6872,128.8694,-11.29,99,100,6.51
67,Qaanaaq,GL,2022-01-31 18:57:06,77.484,-69.3632,-19.71,45,0,7.25
68,Prince George,CA,2022-01-31 18:54:30,53.9166,-122.753,18.28,74,20,0.0
69,Nikolskoye,RU,2022-01-31 18:57:07,59.7035,30.7861,28.87,97,100,5.23
70,Sorland,NO,2022-01-31 18:57:08,67.667,12.6934,33.87,59,100,11.34
71,Tongzi,CN,2022-01-31 18:57:08,28.7829,105.0877,43.86,80,63,1.74
72,Kyrylivka,UA,2022-01-31 18:57:09,46.3759,35.3675,38.34,79,100,18.72
73,Nuristan,AF,2022-01-31 18:57:09,35.3,70.8333,2.97,75,5,12.33
74,Lazaro Cardenas,MX,2022-01-31 18:57:10,17.9583,-102.2,81.81,55,0,8.93
75,Aldan,RU,2022-01-31 18:57:10,58.6031,125.3894,-11.69,100,100,2.01
76,Kortkeros,RU,2022-01-31 18:57:11,61.8106,51.5806,3.2,98,47,3.56
77,Cherskiy,RU,2022-01-31 18:57:11,68.75,161.3,-25.08,98,100,2.55
78,Roald,NO,2022-01-31 18:57:11,62.5833,6.1333,34.0,80,20,16.11
79,Dalbandin,PK,2022-01-31 18:57:12,28.8947,64.4101,56.55,40,0,8.14
80,Halvad,IN,2022-01-31 18:57:12,23.0167,71.1833,68.43,71,0,8.95
81,Otane,NZ,2022-01-31 18:57:13,-39.8833,176.6333,65.39,83,77,2.73
82,Vestmannaeyjar,IS,2022-01-31 18:57:14,63.4427,-20.2734,43.79,87,40,20.71
83,Auki,SB,2022-01-31 18:57:14,-8.7676,160.7034,77.18,89,95,3.31
84,Port Elizabeth,ZA,2022-01-31 18:57:14,-33.918,25.5701,78.1,94,75,12.66
85,Recco,IT,2022-01-31 18:57:15,44.3623,9.1435,56.48,33,7,1.99
86,Chuy,UY,2022-01-31 18:57:15,-33.6971,-53.4616,72.93,56,85,17.52
87,Bedum,NL,2022-01-31 18:57:16,53.3008,6.6028,42.98,90,98,3.0
88,Fort Nelson,CA,2022-01-31 18:57:17,58.8053,-122.7002,-6.21,77,100,2.3
89,Mar Del Plata,AR,2022-01-31 18:58:17,-38.0023,-57.5575,66.22,52,75,17.0
90,Butaritari,KI,2022-01-31 18:58:18,3.0707,172.7902,80.73,80,92,16.15
91,Arua,UG,2022-01-31 18:58:18,3.0201,30.9111,73.35,33,97,7.09
92,Aklavik,CA,2022-01-31 18:58:19,68.2191,-135.0107,3.2,78,75,10.36
93,Kuminskiy,RU,2022-01-31 18:58:19,58.6667,66.5667,-1.35,99,91,3.13
94,Vao,NC,2022-01-31 18:58:20,-22.6667,167.4833,76.59,88,100,6.64
95,Coihaique,CL,2022-01-31 18:54:02,-45.5752,-72.0662,62.55,51,75,10.36
96,Saint-Vallier,FR,2022-01-31 18:58:20,46.6411,4.3711,38.12,86,100,5.3
97,Rokytne,UA,2022-01-31 18:58:21,51.2796,27.214,26.29,88,100,9.84
98,Jinchang,CN,2022-01-31 18:58:21,38.4953,102.1739,18.25,38,100,1.61
99,Mahibadhoo,MV,2022-01-31 18:58:22,3.7833,72.9667,82.62,78,7,13.94
100,Tasiilaq,GL,2022-01-31 18:58:23,65.6145,-37.6368,6.26,96,100,4.18
101,Iqaluit,CA,2022-01-31 18:58:24,63.7506,-68.5145,-25.31,67,20,0.0
102,Grand Island,US,2022-01-31 18:53:34,40.925,-98.342,60.3,23,41,5.99
103,Northam,GB,2022-01-31 18:58:25,51.0333,-4.2167,47.61,84,25,16.17
104,Katsuura,JP,2022-01-31 18:58:25,35.1333,140.3,41.14,48,54,9.75
105,Yurty,RU,2022-01-31 18:58:25,56.0498,97.6348,-11.81,100,89,1.99
106,Hilo,US,2022-01-31 18:58:26,19.7297,-155.09,76.24,63,15,1.99
107,Guasdualito,VE,2022-01-31 18:58:26,7.2424,-70.7324,93.16,38,20,6.91
108,Bluff,NZ,2022-01-31 18:58:27,-46.6,168.3333,57.79,92,25,2.93
109,Lompoc,US,2022-01-31 18:55:17,34.6391,-120.4579,70.09,72,75,13.0
110,Hof,DE,2022-01-31 18:58:28,50.3167,11.9167,35.47,70,100,9.22
111,Bereda,ES,2022-01-31 18:58:28,43.2686,-7.5406,46.92,91,19,7.76
112,Saldanha,ZA,2022-01-31 18:58:28,-33.0117,17.9442,86.05,69,7,5.28
113,Norman Wells,CA,2022-01-31 18:58:29,65.282,-126.8329,5.04,72,75,16.11
114,Bambous Virieux,MU,2022-01-31 18:55:07,-20.3428,57.7575,80.85,78,75,17.27
115,Tecolutla,MX,2022-01-31 18:58:30,20.4833,-97.0167,73.92,69,7,11.21
116,Ancud,CL,2022-01-31 18:58:30,-41.8697,-73.8203,62.42,61,5,10.51
117,Torbay,CA,2022-01-31 18:58:31,47.6666,-52.7314,36.75,67,75,14.97
118,Kathu,TH,2022-01-31 18:58:31,7.9178,98.3332,76.82,78,17,11.88
119,Castro,BR,2022-01-31 18:58:31,-24.7911,-50.0119,76.26,64,38,6.64
120,Sur,OM,2022-01-31 18:58:32,22.5667,59.5289,72.14,64,0,2.19
121,Coquimbo,CL,2022-01-31 18:58:33,-29.9533,-71.3436,68.0,73,79,8.57
122,Mogadishu,SO,2022-01-31 18:58:33,2.0371,45.3438,77.77,85,62,19.53
123,Casa Nova,BR,2022-01-31 18:58:34,-9.4167,-41.1333,89.58,35,10,10.33
124,Tahta,EG,2022-01-31 18:58:34,26.7693,31.5021,59.11,59,5,8.61
125,Gamba,GA,2022-01-31 18:58:35,-2.65,10.0,77.79,87,99,6.42
126,Kodiak,US,2022-01-31 18:58:35,57.79,-152.4072,26.96,86,67,1.16
127,Ponta Delgada,PT,2022-01-31 18:58:36,37.7333,-25.6667,62.51,72,20,9.22
128,Fort Saint James,CA,2022-01-31 18:58:36,54.4333,-124.25,12.52,92,100,2.39
129,Ambilobe,MG,2022-01-31 18:58:37,-13.2,49.05,75.06,93,93,3.09
130,Clyde River,CA,2022-01-31 18:58:37,70.4692,-68.5914,-30.77,75,0,6.91
131,Oranjemund,NA,2022-01-31 18:55:14,-28.55,16.4333,67.71,82,0,5.95
132,Abu Samrah,SY,2022-01-31 18:59:38,35.3029,37.1841,44.8,80,100,6.55
133,Lebu,CL,2022-01-31 18:59:38,-37.6167,-73.65,62.53,62,0,20.04
134,Arraial Do Cabo,BR,2022-01-31 18:59:39,-22.9661,-42.0278,80.46,78,75,8.05
135,Sakakah,SA,2022-01-31 18:59:40,29.9697,40.2064,53.17,47,0,12.91
136,Tevriz,RU,2022-01-31 18:59:40,57.509,72.4042,6.84,96,100,4.76
137,Bay Roberts,CA,2022-01-31 18:59:40,47.5999,-53.2648,37.51,64,87,11.01
138,Georgetown,MY,2022-01-31 18:56:04,5.4112,100.3354,82.89,84,20,1.01
139,Isabela,PH,2022-01-31 18:59:41,6.7085,121.9711,77.4,81,91,3.0
140,Grand Gaube,MU,2022-01-31 18:59:41,-20.0064,57.6608,81.0,70,55,10.0
141,Port Hardy,CA,2022-01-31 18:59:42,50.6996,-127.4199,41.76,87,40,6.91
142,Ixtapa,MX,2022-01-31 18:58:37,20.7,-105.2,87.46,26,0,6.35
143,Puro,PH,2022-01-31 18:59:43,12.4841,123.3827,77.65,84,100,13.42
144,Soligalich,RU,2022-01-31 18:59:43,59.0778,42.2864,22.8,94,100,9.35
145,Vredendal,ZA,2022-01-31 18:59:43,-31.6683,18.5012,82.98,37,89,5.26
146,Santa Cruz,BO,2022-01-31 18:54:51,-17.8,-63.1667,94.46,49,40,9.22
147,Acapulco,MX,2022-01-31 18:56:37,16.8634,-99.8901,82.98,57,0,8.9
148,Yar-Sale,RU,2022-01-31 18:59:45,66.8333,70.8333,-16.2,100,93,4.43
