City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Port Elizabeth,ZA,2022-01-31 23:58:45,-33.918,25.5701,73.69,94,100,9.22
68,Butaritari,KI,2022-01-31 23:54:56,3.0707,172.7902,81.45,79,78,13.31
69,Kapaa,US,2022-01-31 23:59:08,22.0752,-159.319,76.12,59,100,1.01
70,Vardo,NO,2022-01-31 23:59:09,70.3705,31.1107,22.51,80,56,8.79
71,Henties Bay,NA,2022-01-31 23:59:09,-22.116,14.2845,69.85,78,100,7.07
72,Mahebourg,MU,2022-01-31 23:54:53,-20.4081,57.7,79.25,78,75,14.97
73,Moose Factory,CA,2022-01-31 23:59:10,51.2585,-80.6094,-2.2,60,75,9.22
74,Kloulklubed,PW,2022-01-31 23:59:10,7.0419,134.2556,82.98,73,100,18.37
75,Lima,PE,2022-01-31 23:55:13,-12.0432,-77.0282,74.89,69,0,10.36
76,Nkhotakota,MW,2022-01-31 23:59:11,-12.9274,34.2961,72.5,83,39,4.94
77,Mataura,NZ,2022-01-31 23:56:10,-46.1927,168.8643,75.47,50,65,1.88
78,Praia,CV,2022-01-31 23:54:41,14.9215,-23.5087,70.34,88,0,13.8
79,Mar Del Plata,AR,2022-01-31 23:59:10,-38.0023,-57.5575,64.42,58,0,5.75
80,Puerto Del Rosario,ES,2022-01-31 23:59:12,28.5004,-13.8627,69.48,63,100,6.91
81,Kapit,MY,2022-01-31 23:59:13,2.0167,112.9333,73.56,98,100,2.15
82,Koungou,YT,2022-01-31 23:57:02,-12.7336,45.2042,82.11,83,0,8.05
83,Waycross,US,2022-01-31 23:59:14,31.2136,-82.354,55.87,54,0,0.0
84,Tezu,IN,2022-01-31 23:59:15,27.9167,96.1667,54.37,85,100,1.97
85,Ixtapa,MX,2022-01-31 23:54:27,20.7,-105.2,76.23,80,0,5.99
86,Hovd,MN,2022-01-31 23:59:17,48.0056,91.6419,-13.47,80,31,1.43
87,Yulara,AU,2022-01-31 23:59:17,-25.2406,130.9889,69.64,100,100,17.27
88,Ancud,CL,2022-01-31 23:59:18,-41.8697,-73.8203,60.42,75,11,8.12
89,Kavaratti,IN,2022-01-31 23:55:03,10.5669,72.642,80.46,72,2,10.54
90,Souillac,MU,2022-01-31 23:57:00,-20.5167,57.5167,79.36,78,75,14.97
91,Gaya,IN,2022-02-01 00:00:20,24.7833,85.0,52.47,73,15,3.51
92,Pucara,PE,2022-02-01 00:00:20,-15.9803,-71.4606,36.23,82,97,10.11
93,Ilulissat,GL,2022-01-31 23:56:37,69.2167,-51.1,-1.35,98,100,4.59
94,Thompson,CA,2022-01-31 23:57:57,55.7435,-97.8558,1.56,78,100,6.91
95,Altay,CN,2022-02-01 00:00:22,47.8667,88.1167,7.57,64,89,4.85
96,Pangody,RU,2022-02-01 00:00:24,65.85,74.4859,-14.51,100,99,6.02
97,Ostrovnoy,RU,2022-02-01 00:00:26,68.0531,39.5131,11.07,96,100,5.3
98,Arraial Do Cabo,BR,2022-02-01 00:00:26,-22.9661,-42.0278,76.91,87,100,7.58
99,Luderitz,NA,2022-02-01 00:00:28,-26.6481,15.1594,65.66,87,9,5.5
100,Thinadhoo,MV,2022-02-01 00:00:29,0.5333,72.9333,82.56,69,19,11.05
101,Sao Filipe,CV,2022-02-01 00:00:30,14.8961,-24.4956,75.04,69,100,5.35
102,Valle Hermoso,MX,2022-02-01 00:00:31,25.6667,-97.8333,77.04,74,45,12.03
103,Barrow,US,2022-02-01 00:00:31,71.2906,-156.7887,-14.78,76,0,8.05
104,Gao,ML,2022-02-01 00:00:32,16.6362,1.637,63.37,9,34,13.22
105,Torrevieja,ES,2022-01-31 23:58:42,37.9787,-0.6822,61.09,64,1,1.99
106,Hofn,IS,2022-02-01 00:00:33,64.2539,-15.2082,30.36,86,97,8.63
107,Anadyr,RU,2022-01-31 23:57:55,64.75,177.4833,18.1,45,0,8.95
108,Hithadhoo,MV,2022-02-01 00:00:33,-0.6,73.0833,82.11,75,26,11.68
109,Pisco,PE,2022-02-01 00:00:34,-13.7,-76.2167,72.01,83,41,6.17
110,Broome,US,2022-02-01 00:00:34,42.2506,-75.833,19.0,72,11,1.01
111,Leningradskiy,RU,2022-02-01 00:00:35,69.3833,178.4167,-17.01,94,67,9.53
112,Kodiak,US,2022-01-31 23:59:45,57.79,-152.4072,32.04,82,88,5.01
113,Igurusi,TZ,2022-02-01 00:00:36,-8.85,33.85,63.07,97,100,1.12
114,Hamilton,US,2022-02-01 00:00:36,39.1834,-84.5333,35.2,66,73,3.13
115,Cicero Dantas,BR,2022-02-01 00:00:37,-10.6,-38.3833,74.05,71,5,9.91
116,Aswan,EG,2022-02-01 00:00:37,24.0934,32.907,52.07,54,0,7.99
117,Mariental,NA,2022-02-01 00:00:38,-24.6333,17.9667,73.51,72,89,11.52
118,Bac Lieu,VN,2022-01-31 23:56:53,9.285,105.7244,77.83,83,13,13.65
119,Berlevag,NO,2022-02-01 00:00:38,70.8578,29.0864,22.1,75,70,8.21
120,Port Augusta,AU,2022-02-01 00:00:39,-32.5,137.7667,73.71,68,100,19.98
121,Hurghada,EG,2022-02-01 00:00:39,27.2574,33.8129,57.24,51,37,11.7
122,Dingle,PH,2022-02-01 00:00:40,10.9995,122.6711,77.63,86,99,9.71
123,Lahij,YE,2022-02-01 00:00:41,13.1667,44.5833,68.79,73,31,4.21
124,Linhares,BR,2022-01-31 23:58:06,-19.3911,-40.0722,78.67,81,98,4.12
125,Tazovskiy,RU,2022-01-31 23:55:46,67.4667,78.7,0.82,98,100,4.76
126,Longyearbyen,SJ,2022-02-01 00:00:41,78.2186,15.6401,13.84,62,40,2.3
127,Cape Girardeau,US,2022-02-01 00:00:42,37.3834,-89.7168,44.29,74,74,8.14
128,Nenjiang,CN,2022-02-01 00:00:43,49.1833,125.2167,-17.43,100,78,0.65
129,Norman Wells,CA,2022-02-01 00:00:43,65.282,-126.8329,2.25,94,100,13.33
130,Ambilobe,MG,2022-02-01 00:00:44,-13.2,49.05,73.94,94,100,1.61
131,Severo-Kurilsk,RU,2022-02-01 00:00:44,50.6789,156.125,29.05,74,100,21.43
132,Brainerd,US,2022-02-01 00:00:45,46.358,-94.2008,25.05,93,100,10.96
133,Palmerston,AU,2022-02-01 00:00:45,-12.486,130.9833,87.93,80,20,13.8
134,Yerbogachen,RU,2022-02-01 00:00:46,61.2767,108.0108,-14.46,100,95,2.42
135,Pomerode,BR,2022-02-01 00:00:46,-26.7406,-49.1769,76.69,99,33,1.61
136,Shamary,RU,2022-02-01 00:01:47,57.3434,58.2199,10.92,99,96,3.29
137,East Wenatchee Bench,US,2022-02-01 00:01:47,47.4257,-120.2812,41.45,72,30,4.0
138,Merauke,ID,2022-02-01 00:01:48,-8.4667,140.3333,80.56,79,100,10.83
139,Port Alfred,ZA,2022-02-01 00:01:48,-33.5906,26.891,74.95,96,100,5.82
140,Booue,GA,2022-02-01 00:01:49,-0.0921,11.9385,74.53,82,100,2.53
141,Tuatapere,NZ,2022-02-01 00:01:49,-46.1333,167.6833,75.81,48,75,0.58
142,Oranjemund,NA,2022-02-01 00:01:50,-28.55,16.4333,67.12,84,0,7.65
143,Zhigansk,RU,2022-02-01 00:01:50,66.7697,123.3711,-30.69,99,88,7.34
144,Necochea,AR,2022-02-01 00:00:13,-38.5473,-58.7368,61.03,53,44,7.81
145,Prainha,BR,2022-02-01 00:01:51,-1.8,-53.48,73.47,96,74,3.06
146,Rumford,US,2022-02-01 00:01:51,44.5537,-70.5509,13.71,95,62,3.2
147,Carnarvon,AU,2022-02-01 00:01:22,-24.8667,113.6333,81.54,61,1,19.13
148,Burgeo,CA,2022-02-01 00:01:52,47.6167,-57.6152,20.66,73,100,16.08
149,Belmonte,BR,2022-02-01 00:01:53,-15.8631,-38.8828,79.84,83,25,8.68
150,Xai-Xai,MZ,2022-02-01 00:01:53,-25.0519,33.6442,72.57,93,51,5.57
151,Palizada,MX,2022-02-01 00:01:53,18.25,-92.0833,70.14,79,0,4.34
152,Boca Do Acre,BR,2022-02-01 00:01:54,-8.7522,-67.3978,73.94,95,85,1.9
153,Mount Isa,AU,2022-02-01 00:01:54,-20.7333,139.5,85.77,66,73,12.66
154,Aitape,PG,2022-02-01 00:01:55,-3.1374,142.3475,78.1,81,100,3.65
155,Penne,IT,2022-02-01 00:01:55,42.4538,13.9299,44.8,86,100,9.55
156,Faanui,PF,2022-02-01 00:00:28,-16.4833,-151.75,81.05,72,6,21.18
157,Nhlangano,SZ,2022-02-01 00:01:56,-27.1167,31.2,65.08,92,75,2.26
158,Beringovskiy,RU,2022-02-01 00:01:57,63.05,179.3167,6.24,82,96,17.58
159,Sao Joao Da Barra,BR,2022-01-31 23:58:11,-21.6403,-41.0511,77.67,88,92,6.89
160,Cayenne,GF,2022-02-01 00:00:08,4.9333,-52.3333,80.1,84,75,4.0
161,Asilah,MA,2022-02-01 00:01:58,35.465,-6.0348,49.96,73,0,4.18
162,Codrington,AU,2022-02-01 00:01:10,-38.2667,141.9667,63.19,62,71,20.49
163,Yellowknife,CA,2022-01-31 23:59:35,62.456,-114.3525,-10.44,83,20,5.75
164,Paracuru,BR,2022-02-01 00:01:58,-3.41,-39.0306,82.11,76,56,10.42
165,Provideniya,RU,2022-01-31 23:58:56,64.3833,-173.3,5.36,66,40,26.84
166,Gat,IL,2022-02-01 00:01:59,31.61,34.7642,52.39,100,53,8.1
167,Nanortalik,GL,2022-02-01 00:00:45,60.1432,-45.2371,25.61,81,100,16.84
168,Saint George,US,2022-02-01 00:02:00,37.1041,-113.5841,61.32,17,0,1.99
169,Bambous Virieux,MU,2022-02-01 00:02:01,-20.3428,57.7575,79.21,73,53,23.85
170,Luyang,CN,2022-02-01 00:02:01,27.6239,110.0989,36.36,98,100,3.69
171,Langham,CA,2022-02-01 00:02:02,52.3668,-106.9679,7.02,90,100,23.44
172,Robe,AU,2022-02-01 00:02:03,-37.1833,139.75,61.57,65,71,23.09
173,Ozernovskiy,RU,2022-02-01 00:02:03,51.5,156.5167,23.47,73,99,11.59
174,Walvis Bay,NA,2022-02-01 00:02:04,-22.9575,14.5053,70.09,83,100,8.01
175,Lahaina,US,2022-01-31 23:58:58,20.8783,-156.6825,76.95,77,83,8.14
176,Saskylakh,RU,2022-02-01 00:02:05,71.9167,114.0833,-28.8,100,80,2.24
177,Ust-Nera,RU,2022-02-01 00:02:05,64.5667,143.2,-3.68,99,100,3.56
178,Fengzhen,CN,2022-02-01 00:02:06,40.4394,113.1536,7.7,68,0,1.32
179,Port Blair,IN,2022-02-01 00:01:58,11.6667,92.75,72.12,76,31,6.49
180,Saint-Philippe,RE,2022-02-01 00:02:07,-21.3585,55.7679,78.39,80,100,14.81
181,Mandurah,AU,2022-02-01 00:02:07,-32.55,115.7,68.16,54,16,21.18
182,Cockburn Town,TC,2022-02-01 00:02:08,21.4612,-71.1419,73.85,72,96,22.57
183,Fukuma,JP,2022-02-01 00:03:08,33.7667,130.4667,41.29,68,96,18.37
184,Ponta Do Sol,PT,2022-02-01 00:00:42,32.6667,-17.1,66.0,83,32,12.95
185,Ust-Maya,RU,2022-02-01 00:03:09,60.4167,134.5333,-15.74,98,100,1.1
186,Wagar,SD,2022-02-01 00:03:09,16.1525,36.2032,66.58,23,26,10.74
187,Ondjiva,AO,2022-02-01 00:03:10,-17.0667,15.7333,70.83,34,95,7.09
188,La Asuncion,VE,2022-02-01 00:03:10,11.0333,-63.8628,76.71,83,51,13.18
189,Sena Madureira,BR,2022-02-01 00:03:11,-9.0656,-68.6569,76.08,85,92,2.66
190,Hualmay,PE,2022-02-01 00:03:11,-11.0964,-77.6139,71.37,81,71,8.59
191,New Norfolk,AU,2022-02-01 00:03:03,-42.7826,147.0587,82.71,39,27,5.99
192,Tasiilaq,GL,2022-02-01 00:03:12,65.6145,-37.6368,8.76,98,96,5.26
193,Namatanai,PG,2022-02-01 00:03:12,-3.6667,152.4333,82.27,75,95,5.88
194,Hilo,US,2022-02-01 00:03:13,19.7297,-155.09,80.33,62,40,10.36
195,Airai,TL,2022-02-01 00:03:13,-8.9266,125.4092,67.42,70,78,5.57
196,Havre-Saint-Pierre,CA,2022-02-01 00:03:03,50.2334,-63.5986,10.04,76,96,12.73
197,Lagoa,PT,2022-02-01 00:03:14,39.05,-27.9833,58.46,77,33,23.49
198,San Quintin,MX,2022-02-01 00:03:14,30.4833,-115.95,61.56,61,84,10.85
199,Kavieng,PG,2022-02-01 00:00:29,-2.5744,150.7967,80.92,80,100,9.84
200,Bonthe,SL,2022-02-01 00:03:15,7.5264,-12.505,76.96,91,56,5.88
201,Bethel,US,2022-02-01 00:03:15,41.3712,-73.414,24.67,62,0,0.0
202,Kalmunai,LK,2022-02-01 00:03:16,7.4167,81.8167,78.01,68,99,7.96
203,Alofi,NU,2022-02-01 00:03:16,-19.0595,-169.9187,78.87,69,86,6.53
204,Ribeira Grande,PT,2022-02-01 00:03:17,38.5167,-28.7,59.83,75,14,14.32
205,Constitucion,CL,2022-02-01 00:01:02,-35.3333,-72.4167,60.04,71,0,10.54
206,Ferme-Neuve,CA,2022-02-01 00:03:18,46.7001,-75.4493,2.41,96,72,2.13
207,Te Anau,NZ,2022-02-01 00:03:18,-45.4167,167.7167,72.43,44,92,2.15
208,Monduli,TZ,2022-02-01 00:03:19,-3.3,36.45,61.36,97,100,3.42
209,Boa Vista,BR,2022-02-01 00:03:19,2.8197,-60.6733,85.32,49,95,4.9
210,Fukue,JP,2022-02-01 00:03:20,32.6881,128.8419,49.37,62,97,20.69
211,Rongcheng,CN,2022-02-01 00:03:20,30.634,117.8517,39.92,85,98,3.76
212,Lebu,CL,2022-02-01 00:03:21,-37.6167,-73.65,58.14,74,2,17.34
213,Zhenlai,CN,2022-02-01 00:03:21,45.8495,123.2973,-6.66,90,10,4.21
214,Tual,ID,2022-02-01 00:03:22,-5.6667,132.75,83.86,74,100,21.65
215,Cidreira,BR,2022-02-01 00:01:43,-30.1811,-50.2056,73.33,85,26,3.89
216,Cuamba,MZ,2022-02-01 00:03:23,-14.8031,36.5372,67.06,97,4,1.81
217,Chokurdakh,RU,2022-02-01 00:03:23,70.6333,147.9167,-13.92,95,100,2.24
218,Roald,NO,2022-02-01 00:00:01,62.5833,6.1333,31.33,93,100,12.66
219,Columbia,US,2022-02-01 00:01:22,34.0007,-81.0348,51.89,58,83,3.13
220,Mareeba,AU,2022-02-01 00:03:24,-17.0,145.4333,85.48,86,80,6.11
221,Narsaq,GL,2022-02-01 00:03:25,60.9167,-46.05,26.82,88,99,5.66
222,Port Hedland,AU,2022-02-01 00:03:25,-20.3167,118.5667,84.25,84,100,0.0
223,East London,ZA,2022-02-01 00:03:03,-33.0153,27.9116,77.18,73,100,2.71
224,Kropotkin,RU,2022-02-01 00:03:26,45.4375,40.5756,33.22,94,100,7.27
225,Oakdale,US,2022-02-01 00:03:27,44.963,-92.9649,28.56,75,0,3.0
226,Muli,MV,2022-02-01 00:03:27,2.9167,73.5667,81.97,78,12,13.0
227,La Gloria,CO,2022-02-01 00:03:27,8.6187,-73.8027,81.81,60,73,0.43
228,Barra Patuca,HN,2022-02-01 00:03:28,15.8,-84.2833,72.88,69,40,5.99
229,Santa Isabel Do Rio Negro,BR,2022-02-01 00:04:28,-0.4139,-65.0192,77.83,77,99,3.15
230,General Roca,AR,2022-02-01 00:04:29,-39.0333,-67.5833,81.63,16,1,6.98
231,Dukat,RU,2022-02-01 00:01:27,62.55,155.55,-4.63,96,100,6.78
232,Khatanga,RU,2022-02-01 00:04:31,71.9667,102.5,-28.84,100,44,2.91
233,Hami,CN,2022-02-01 00:04:25,42.8,93.45,19.76,39,1,2.13
234,Mount Gambier,AU,2022-02-01 00:04:32,-37.8333,140.7667,66.11,52,75,19.57
235,Salalah,OM,2022-01-31 23:59:59,17.0151,54.0924,66.58,68,2,4.72
236,Lasa,IT,2022-02-01 00:04:33,46.6166,10.7002,34.7,95,96,7.49
237,Ugoofaaru,MV,2022-02-01 00:04:33,5.6667,73.0,82.29,72,11,12.57
238,Coihaique,CL,2022-02-01 00:02:06,-45.5752,-72.0662,59.61,88,71,11.61
239,Kahului,US,2022-02-01 00:00:32,20.8947,-156.47,76.96,77,73,8.99
240,Sakaiminato,JP,2022-02-01 00:04:34,35.55,133.2333,43.7,62,55,14.72
241,Yar-Sale,RU,2022-02-01 00:04:35,66.8333,70.8333,-16.76,100,68,5.55
242,Cururupu,BR,2022-02-01 00:04:35,-1.8283,-44.8683,74.97,95,98,4.14
243,Lady Frere,ZA,2022-02-01 00:04:35,-31.7031,27.2329,66.58,86,100,4.97
244,Teguise,ES,2022-02-01 00:04:36,29.0605,-13.564,66.42,56,97,13.8
245,Pevek,RU,2022-02-01 00:04:36,69.7008,170.3133,-17.48,97,92,0.81
246,Samarai,PG,2022-02-01 00:04:37,-10.6167,150.6667,85.08,67,100,12.66
247,Oriximina,BR,2022-02-01 00:04:37,-1.7656,-55.8661,75.42,92,51,3.96
248,Dudinka,RU,2022-02-01 00:04:38,69.4058,86.1778,6.62,94,99,8.93
249,Mikhaylovka,RU,2022-02-01 00:04:38,50.06,43.2379,35.78,87,100,16.04
250,Salta,AR,2022-02-01 00:04:39,-24.7859,-65.4117,67.57,70,100,1.99
251,Panzos,GT,2022-02-01 00:04:39,15.4,-89.6667,68.74,85,1,1.45
252,Turbiv,UA,2022-02-01 00:04:40,49.3479,28.7212,23.23,94,96,7.38
253,Akdepe,TM,2022-02-01 00:04:40,42.0551,59.3788,32.0,80,12,9.8
254,Acapulco,MX,2022-02-01 00:01:07,16.8634,-99.8901,80.47,63,0,9.93
255,Bathsheba,BB,2022-02-01 00:04:41,13.2167,-59.5167,79.41,78,40,9.22
256,Kolosovka,RU,2022-02-01 00:04:41,56.4678,73.611,16.45,96,93,5.86
257,Northam,GB,2022-01-31 23:59:53,51.0333,-4.2167,48.61,86,86,20.13
258,Progreso,MX,2022-02-01 00:04:42,21.2833,-89.6667,78.91,71,19,18.7
259,Birao,CF,2022-02-01 00:04:42,10.2849,22.7882,69.42,15,83,12.15
260,Karratha,AU,2022-02-01 00:04:43,-20.7377,116.8463,86.7,66,78,5.17
261,Grand Gaube,MU,2022-02-01 00:04:43,-20.0064,57.6608,80.38,71,65,7.0
262,Punta De Piedra,VE,2022-02-01 00:04:44,7.6176,-71.4916,80.33,40,48,1.7
