City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
456,khakhea,BW,71.71,light rain,-24.6895,23.494,
459,tuy hoa,VN,74.07,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
460,nioro,GM,74.97,scattered clouds,13.35,-15.75,
473,teguise,ES,66.42,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
474,lakota,CI,70.54,broken clouds,5.8528,-5.6883,Aziz bah divers
478,rawson,AR,68.34,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
481,uvira,CD,71.87,light rain,-3.4067,29.1458,Hotel Suzana
489,gwadar,PK,66.06,clear sky,25.1216,62.3254,Sadaf Resort
490,nelson bay,AU,71.96,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
495,pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
496,praya,CV,72.14,clear sky,14.9215,-23.5087,LT Aparthotel
506,rajula,IN,65.93,clear sky,21.05,71.4333,Lion Lords Inn Rajula
514,maun,BW,70.07,clear sky,-19.9833,23.4167,Enviro Villa
516,kaili,ID,72.43,overcast clouds,-3.4626,120.2147,
517,santa cruz de tenerife,ES,73.6,light rain,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
518,san carlos de bariloche,AR,69.55,scattered clouds,-41.1456,-71.3082,Hotel Patagonia
522,jojoima,SL,66.38,clear sky,7.8792,-10.7878,
